company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Automotive Manufacturers,3.9,1.2k,5.1k,101,41,Automobile,Hyderabad +148 other locations,76,42
Ion Exchange India,3.8,1.2k,5k,95,50,Waste Management,Mumbai +124 other locations,87,42
Samsung Research,3.0,1.2k,9.5k,149,8,IT Services & Consulting,Bengaluru +19 other locations,140,42
NetAmbit,4.0,1.2k,3.1k,159,5,BPO,Noida +145 other locations,34,42
Tenneco,3.6,1.2k,5.2k,69,10,Auto Components,Pune +45 other locations,114,42
Jindal X,3.5,1.2k,2.8k,113,2,BPO,New Delhi +22 other locations,155,42
Jindal X,3.5,1.2k,2.8k,113,2,BPO,New Delhi +22 other locations,155,43
ICICI Prudential Mutual Fund,3.9,1.2k,5.5k,86,--,Financial Services,Mumbai +167 other locations,84,43
Globant,3.4,1.2k,10k,201,66,IT Services & Consulting,Pune +17 other locations,100,43
ANZ Banking Group,3.8,1.2k,8.1k,107,13,Banking,Bengaluru +18 other locations,102,43
Electronics Corporation of India Limited,4.2,1.2k,3.1k,59,--,Electronics Manufacturing,Hyderabad +56 other locations,105,43
SKF,4.0,1.2k,4.5k,73,55,Auto Components,Pune +69 other locations,148,43
Astral Pipe,4.0,1.3k,4k,93,47,Building Material,Ahmedabad +142 other locations,31,43
SK Finance Limited,3.8,1.2k,3.3k,85,--,NBFC,Jaipur +268 other locations,13,43
Royal Migration Solutions,4.9,1.2k,5,1,--,Other,Dubai +12 other locations,1,43
Godrej Consumer Products,4.0,1.2k,4.7k,60,--,FMCG,Mumbai +149 other locations,118,43
Rupeek,4.1,1.2k,3.3k,132,29,FinTech,Bengaluru +57 other locations,55,43
Oil And Natural Gas Corporation,4.4,1.2k,3k,80,--,Oil & Gas,Mumbai +84 other locations,137,43
PNC Infratech,3.8,1.2k,3.5k,83,3,Engineering & Construction,Agra +95 other locations,78,43
Fresenius Kabi,4.0,1.2k,4k,52,26,Pharma,Pune +64 other locations,116,43
Intertek,3.7,1.2k,4k,82,64,"Testing, Inspection and Certification (TIC)",New Delhi +114 other locations,114,43
T-Systems ICT India,3.8,1.2k,8.5k,105,8,IT Services & Consulting,Pune +16 other locations,90,43
iSON Xperiences,3.2,1.2k,3.3k,78,8,BPO,Chennai +43 other locations,90,43
Synchrony,4.3,1.2k,5.5k,92,48,Financial Services,Hyderabad +9 other locations,197,43
Apex Group,2.7,1.2k,7.7k,179,274,Financial Services,Pune +28 other locations,30,43
Mu Sigma,2.4,1.2k,6.7k,249,--,Analytics & KPO,Bengaluru +16 other locations,120,43
Spandana Sphoorty Financial,3.7,1.2k,2.3k,49,6,NBFC,Hyderabad +351 other locations,80,44
Shriram Pistons & Rings,4.1,1.2k,4.5k,74,2,Auto Components,Bhiwadi +61 other locations,133,44
Aarvee Associates,3.7,1.2k,3.3k,97,--,Engineering & Construction,Hyderabad +169 other locations,102,44
Zoho,4.2,1.2k,9.4k,581,--,Software Product,Chennai +35 other locations,101,44
AIIMS,4.1,1.2k,4.4k,66,--,Education & Training,New Delhi +74 other locations,66,44
H.G. Infra Engineering,4.0,1.2k,3.1k,108,--,Engineering & Construction,Jaipur +99 other locations,87,44
Prodapt,3.5,1.2k,9.5k,116,82,IT Services & Consulting,Chennai +16 other locations,73,44
Dassault Systemes,3.8,1.2k,7k,185,2,Software Product,Pune +12 other locations,134,44
PHN Technology,4.3,1.2k,354,41,3,EdTech,Pune +32 other locations,2,44
Kalpataru Limited,4.2,1.2k,4.3k,243,20,Real Estate,Mumbai +82 other locations,78,44
Qualcomm,3.7,1.2k,14.3k,293,391,Semiconductors,Hyderabad +18 other locations,133,44
Wind World,4.0,1.2k,3.2k,87,3,Power,Jaisalmer +82 other locations,120,44
Best Sellers,4.1,1.2k,3k,32,2,Retail,Mumbai +92 other locations,130,44
KIMS Hospital,3.8,1.2k,3.5k,61,4,Healthcare,Hyderabad +60 other locations,78,44
Rockman Industries,3.9,1.2k,3.8k,93,9,Auto Components,Haridwar +41 other locations,98,44
Parexel International,3.8,1.2k,5.9k,87,2,Clinical Research,Hyderabad +25 other locations,124,44
Leadec India,4.1,1.2k,3.5k,151,14,Facility Management Services,Pune +80 other locations,86,44
EbixCash Limited,3.7,1.2k,5.1k,110,5,Software Product,Noida +85 other locations,73,44
DENSO,4.1,1.2k,3.7k,83,1,Auto Components,Gurugram +39 other locations,174,44
Kirloskar Oil Engines,4.1,1.2k,4.1k,62,11,Industrial Machinery,Pune +105 other locations,97,44
Fidelity Investments,4.1,1.2k,7.9k,126,--,Financial Services,Bengaluru +19 other locations,160,45
FOCUS EDUMATICS,2.9,1.2k,3.1k,126,--,EdTech,Coimbatore +35 other locations,39,45
Fidelity National Financial,3.8,1.2k,6.2k,60,2,Financial Services,Bengaluru +15 other locations,151,45
Diageo,3.8,1.2k,6.3k,90,36,Beverage,Bengaluru +98 other locations,101,45
JK Lakshmi Cement,3.7,1.2k,3.7k,79,1,Building Material,New Delhi +140 other locations,95,45
ExcelR,3.7,1.2k,1k,107,51,Education & Training,Bengaluru +24 other locations,3,45
JTEKT,4.1,1.2k,4.3k,92,--,Auto Components,Gurugram +30 other locations,88,45
DLF,3.9,1.2k,4.7k,96,4,Real Estate,Gurugram +35 other locations,71,45
Intel,4.1,1.2k,9k,241,56,Semiconductors,Bengaluru +36 other locations,91,45
Ahluwalia Contracts India,4.0,1.2k,3.5k,75,21,Engineering & Construction,New Delhi +57 other locations,68,45
Strides Pharma,3.9,1.2k,4.2k,77,--,Pharma,Bengaluru +43 other locations,151,45
Colliers India,3.9,1.2k,4.8k,90,113,Real Estate,Bengaluru +46 other locations,76,45
ACG Worldwide,3.8,1.2k,3.9k,84,42,Pharma,Mumbai +31 other locations,43,45
DP World,3.8,1.2k,4.8k,92,165,Logistics,Mumbai +83 other locations,62,45
Baazar Retail Private Limited,4.5,1.2k,1.5k,83,--,Retail,Kolkata +109 other locations,16,45
Barclays Shared Services,3.8,1.2k,4.8k,37,1.1k,Financial Services,Chennai +16 other locations,178,45
Hire In Global,4.9,1.2k,8,248,--,Recruitment,Mumbai +55 other locations,2,45
Xyz Company,3.8,1.1k,43.9k,525,--,Financial Services,Bengaluru +95 other locations,63,45
Thyrocare Technologies,3.8,1.1k,4.3k,86,9,Healthcare,Mumbai +75 other locations,92,45
The Jaypee Group,3.8,1.1k,3.3k,50,3,Engineering & Construction,Noida +106 other locations,113,45
Indostar Capital Finance Limited,4.4,1.1k,2k,188,--,NBFC,Mumbai +322 other locations,30,46
Nielsen,3.2,1.1k,6.4k,154,2,Analytics & KPO,Bengaluru +74 other locations,128,46
Coca-Cola Company,4.0,1.1k,3.2k,103,3,Beverage,Bengaluru +207 other locations,103,46
Electronica Finance,4.1,1.1k,2.8k,139,14,NBFC,Pune +173 other locations,30,46
Salesforce,3.9,1.1k,13k,248,234,Software Product,Hyderabad +40 other locations,105,46
Ocwen Financial Solutions,3.9,1.1k,4.4k,52,4,Financial Services,Bengaluru +9 other locations,168,46
Edelweiss,3.6,1.1k,5.7k,62,--,Financial Services,Mumbai +113 other locations,132,46
PayPal,3.7,1.1k,9.6k,238,--,FinTech,Bengaluru +15 other locations,120,46
Podar International School,4.1,1.1k,3.2k,81,3,Education & Training,Mumbai +124 other locations,112,46
DISH TV,3.4,1.1k,3.3k,76,19,Broadcasting,Noida +153 other locations,102,46
Johnson Lifts,3.9,1.1k,3.6k,48,15,Industrial Machinery,Chennai +75 other locations,92,46
Innova Solutions,3.3,1.1k,7.9k,98,77,IT Services & Consulting,Hyderabad +37 other locations,18,46
Nilkamal,3.6,1.1k,3.6k,80,12,Furniture & Furnishing,Mumbai +112 other locations,94,46
Apollo Health and Lifestyle Limited,4.3,1.1k,3.4k,118,29,Healthcare,Hyderabad +93 other locations,68,46
